rvars
5.5,5.5
5.0,5.0
0.0,0.0

5.5,4.0
5.0,3.75
0.0,0.0

4.0,2.5
3.75,2.5
0.0,0.0

2.5,1.0
2.5,1.25
0.0,0.0

1.0,3.0
1.25,1.1249999999997788
0.0,0.0

3.0,5.0
1.1249999999997788,1.0
0.0,0.0

5.0,5.0
1.0,1.0
0.0,0.0

hvars
-0.0,8.342075085054518

8.342075085054518,13.418324227382351

13.418324227382351,18.49457336971021

18.49457336971021,23.570822512038067

23.570822512038067,28.00631194454042

28.00631194454042,32.44180137704277

32.44180137704277,40.0

ids
pre

post

none

pre

post

pre

none

other_names
snap

snap

none

crackle

crackle

snap

none

