rvars
20.0,20.0,19.58072685267461,18.907064154967134,18.143895503820886,17.456104496179176
20.0,20.0,19.580186480186487,18.90606060606062,18.143123543123572,17.456876456876493
0.0,0.0,0.0,0.0,0.0,0.0

17.456104496179176,16.768313488537466,16.48566731828691,16.773049582370817,17.795343877732492,19.717433801315234
17.456876456876493,16.77062937062942,16.49207459207466,16.786713286713372,17.820046620046718,19.757575757575868
0.0,0.0,0.0,0.0,0.0,0.0

19.717433801315234,21.639523724897977,23.22429358450345,24.376275102186025,25.0,25.0
19.757575757575868,21.69510489510502,23.2678321678323,24.39603729603742,25.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0

25.0,25.0,25.0,25.0,25.0,25.0
25.0,25.0,25.0,25.0,25.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0

25.0,25.0,25.0,25.0,25.0,25.0
25.0,25.0,25.0,25.0,25.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0

25.0,25.0,25.0,25.0,25.0,25.0
25.0,25.0,25.0,25.0,25.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0

hvars
-0.0,5.076923076923042,10.076923076923013,14.923076923076838,19.538461538461444,23.846153846153765

23.846153846153765,28.153846153846086,32.0,35.30769230769229,38.0,40.0

40.0,42.0,44.0,46.0,48.0,50.0

50.0,52.0,53.67930232558128,55.061860465115956,56.17162790697622,57.032558139534196

57.032558139534196,57.893488372092165,58.55348837209212,59.036511627906116,59.366511627906235,59.56744186046454

59.56744186046454,59.768372093022855,59.88813953488349,59.95069767441852,59.98,60.0

ids
none

pre

inter

none

none

none

other_names
none

pop

pop

none

none

none

